MÚSICA,ARTISTA,URI,REGIÃO
Mega Funk dos Ex,"['DJ Jonatas Felipe', 'Fluxo Produções']",7fpZDz5GuJbZo8rEnnR8lZ,CURITIBA
Set 2.0: Homenagem aos Relíquias,['Various Artists'],566AZpR4FJErkhS3CmuaWu,CURITIBA
Se Ela Tiver Como Eu,['João Marcos & Danilo'],0c8CiaZVluQabes2kxwJAk,CURITIBA
Um Sabadão Desse Uma Lua Dessa,"['Mc Talibã', 'MC 3L']",3KfyRuNdcCGsZb15sqrXDA,CURITIBA
O Golpe tá aí Cai Quem Quer,['Dj Guuga'],5kZCL0ezvt1EEDyPojBPWH,CURITIBA
Revoar,"['Mc Davi', 'MC Ryan SP']",7e04kqyagyBHkburAhXdil,CURITIBA
Save Me Now,"['Cat Dealers', 'Guz Zanotto', 'Moore']",224k4h5vTiKWhEpmZb16hM,CURITIBA
Sogra - Ao Vivo,['Dilsinho'],4zsiMjB0794HztyqUkD3Zi,CURITIBA
Monstro Invisível,"['Sabotage', 'MC Hariel', 'DJ Kalfani']",2ginfOlYya4ufBRgkWFmwE,CURITIBA
Oh Juliana,['Niack'],4xWzZmX4K1yyrdtRfbUvjt,CURITIBA
Time,"['Chemical Surf', 'Dubdisko']",7yd2juG2UAETeptVdtFAzs,CURITIBA
Tô Fumando um Chá,"['MC Nandinho', 'DJ Biel Beats']",7aOPf0C61Y85RPdBgxcKoW,CURITIBA
I Love You Too - Ao Vivo,['Ludmilla'],5NnXWsezmRvC5oxhguptYl,RIO DE JANEIRO
Namorar Não Pode,"['Rennan da Penha', 'Mc Max']",1RLrZnrr5nz64c7FrmSWfz,RIO DE JANEIRO
Coro Com Coça,"['Mc Urubuzinho', 'DJ Wesley 22']",08zYEIOJZSRwPySFeWyo1G,RIO DE JANEIRO
Assault (Angra),"['Mainstreet', 'Orochi', 'Borges']",0In8P4w9CvupkqGBuyHTLv,RIO DE JANEIRO
Camisa da França,"['PL Quest', 'Mainstreet', 'Sueth']",3suLdq5ZeXRrhpsYIMWrAQ,RIO DE JANEIRO
XRE,"['Azevedo', 'Mainstreet', 'PL Quest']",1mn5rvpJJyghyGA7XQwmJc,RIO DE JANEIRO
PPTN,['L7NNON'],4jbq7IzxE5kFvBjKdXXH7e,RIO DE JANEIRO
Casa do amor,['Ferrugem'],6RkVmGUAM1X6ExtX4BWVJQ,RIO DE JANEIRO
Saturno,"['BIN', 'Mainstreet', 'Ajaxx']",68cPbG7hJnwDW9nPX1uQcX,RIO DE JANEIRO
Até de Manhã,"['Orochi', 'Mainstreet', 'jess beats']",4U8MZkasPn6VfwlwG3egGt,RIO DE JANEIRO
Trilogia: Você Vai Perder Essa Mulher,['Various Artists'],5JfzcxP8UWCrEBV9cePvcf,RIO DE JANEIRO
Por Favor,['Gamadinho'],06prvaw9p3XRhGRRMIi3N2,RIO DE JANEIRO
Bom dia a Tropa te Chamou pra Piscina - Clean Edit,['DJ ANDRE DE CG'],7GKSa74x4xBRXrbOMR6LaN,RIO DE JANEIRO
Me Explica,"['Mc Th', 'Dj Terrorista', 'DJ Alex da Baixada']",7MyfyChYKZksWvLSldpm57,RIO DE JANEIRO
Poesia Acústica 10: Recomeçar,['Various Artists'],4pwFy4YPNGMxK2P2FfQfvt,RIO DE JANEIRO
Deixa de Onda (Porra Nenhuma),"['DENNIS', 'Xamã', 'Ludmilla']",0DlHQxrVijRqVUfuS6PKaY,RIO DE JANEIRO
Capricórnio,['Xamã'],5mHhrEatZDAqEAbaWT3Fy0,RIO DE JANEIRO
Nunca Encontrei,"['Malibu', 'Grupo Menos É Mais', 'Ferrugem']",3HfCqsCsNIti28HMUqWJZK,RIO DE JANEIRO
Playlist,['Mumuzinho'],6rftze5MC2y76ivrCPemqw,RIO DE JANEIRO
Mudando o Jogo,['BK'],0n7hX17pcm1rTyORz3ej38,RIO DE JANEIRO
Fragrância,"['MD Chefe', 'PL Quest']",1aYyAdWXqCraA5SV2djrNw,RIO DE JANEIRO
Lance Criminoso (feat. BK),"['Papatinho', 'Xamã', 'MC Cabelinho']",2jZJ5d0KCiTP6de1NjyHPl,RIO DE JANEIRO
Adorei,['Grupo Menos É Mais'],6rfNbeEGCh8M5AAj879g0r,RIO DE JANEIRO
Vai Calica,"['Mc KF', 'Kim Quaresma', 'DJ Biel do Anil']",1YZrsJT2M6fccAbxosEjha,RIO DE JANEIRO
Debochando da Mídia,"['MC Maneirinho', 'L7NNON', 'Ian Girão']",24cOHkrtGGQmKvA8R9BNin,RIO DE JANEIRO
A Noite,"['Long beatz', 'Xamã', 'Ryan Realcria']",5179CPSuNgVlFcZgM1JUw2,RIO DE JANEIRO
100 Likes - Ao Vivo,"['Sorriso Maroto', 'Belo']",6kbC245NmdhHIz5tRnYa40,RIO DE JANEIRO
MNB Quase Acústico #4 - Coisa Louca,"['Mãolee', 'BIN', 'Morcego']",5xZievUl0JyuxQEDIuxoGM,RIO DE JANEIRO
Azul Sem Fim,['Grupo Revelação'],6HA8gaQ27DPIYkEUxrucpm,RIO DE JANEIRO
